YEAR;Riga;Bolderaja;Parnu;Tallinn;Narva;St_Petersburg;Kronstadt;Porvoo;Turku;Pori
1600;;;;120;;;;;;
1601;113;;;143;;;;;;
1602;93;;;117;;;;;;
1603;;;;103;;;;;;
1604;;;;122;;;;;;
1605;;;;117;;;;;;
1606;;;;124;;;;;;
1607;;;;109;;;;;;
1608;;;;123;;;;;;
1609;92;;;113;;;;;;
1610;;;;111;;;;;;
1611;;;;115;;;;;;
1612;101;;;136;;;;;;
1613;;;;101;;;;;;
1614;;;;102;;;;;;
1615;99;;;98;;;;;;
1616;103;;;135;;;;;;
1617;78;;;;;;;;;
1618;89;;;105;;;;;;
1619;113;;;130;;;;;;
1620;;;;97;;;;;;
1621;105;;;134;;;;;;
1622;106;;;125;;;;;;
1623;96;;;109;;;;;;
1624;;;;129;;;;;;
1625;;;;122;;;;;;
1626;102;;;106;;;;;;
1627;;;;137;;;;;;
1628;;;;117;;;;;;
1629;;;;116;;;;;;
1630;;;;110;;;;;;
1631;;;;108;;;;;;
1632;;;;105;;;;;;
1633;;;;101;;;;;;
1634;;;;81;;;;;;
1635;;;;115;;;;;;
1636;;;;108;;;;;;
1637;;;;138;;;;;;
1638;;;;118;;;;;;
1639;;;;95;;;;;;
1640;;;;129;;;;;;
1641;;;;96;;;;;;
1642;;;;101;;;;;;
1643;121;;;114;;;;;;
1644;;;;128;;;;;;
1645;;;;109;;;;;;
1646;;;;110;;;;;;
1647;;;;110;;;;;;
1648;;;;119;;;;;;
1649;103;;;127;;;;;;
1650;89;;;119;;;;;;
1651;98;;;;;;;;;
1652;35;;;103;;;;;;
1653;36;;;112;;;;;;
1654;;;;;;;;;;
1655;;;;100;;;;;;
1656;;;;111;;;;;;
1657;;;;102;;;;;;
1658;;;;130;;;;;;
1659;124;;;90;;;;;;
1660;;;;114;;;;;;
1661;;;;88;;;;;;
1662;51;;;;;;;;;
1663;;;;100;;;;;;
1664;;;;121;;;;;;
1665;;;;107;;;;;;
1666;;;;98;;;;;;
1667;110;;;124;;;;;;
1668;;;;;;;;;;
1669;;;;127;;;;;;
1670;;;;120;;;;;;
1671;;;;128;;;;;;
1672;;;;116;;;;;;
1673;;;;108;;;;;;
1674;;;;145;;;;;;
1675;;;;116;;;;;;
1676;;;;91;;;;;;
1677;;;;114;;;;;;
1678;;;;119;;;;;;
1679;;;;108;;;;;;
1680;;;;104;;;;;;
1681;;;;83;;;;;;
1682;;;;111;;;;;;
1683;;;;;;;;;;
1684;;;;113;;;;;;
1685;;;;133;;;;;;
1686;;;;113;;;;;;
1687;90;;;102;;;;;;
1688;;;;95;;;;;;
1689;109;;;109;;;;;;
1690;;;;70;;;;;;
1691;;;;124;;;;;;
1692;101;;;121;;;;;;
1693;;;;84;;;;;;
1694;;;;104;;;;;;
1695;;;;122;;;;;;
1696;;;;100;;;;;;
1697;;;;120;;;;;;
1698;;;;80;;;;;;
1699;;;;102;;;;;;
1700;;;;106;;;;;;
1701;;;;105;;;;;;
1702;;;;74;;;;;;
1703;;;;109;;;;;;
1704;;;;110;;;;;;
1705;;;;87;;;;;;
1706;;;;117;;105;;;;
1707;;;;104;;102;;;;
1708;;;;124;;115;;;;
1709;108;;;127;;115;;;;
1710;107;;;120;;114;;;;
1711;97;;;112;;109;;;;
1712;115;;;67;;110;;;;
1713;74;;;59;;105;;;;
1714;99;;;79;;121;;;;
1715;93;;;108;;103;;;;
1716;113;;;114;;120;;;;
1717;102;;;113;;111;;;;
1718;92;;;111;;;;;;
1719;102;;;128;;120;;;;
1720;105;;;111;;;;;;
1721;100;;;121;;111;;;;
1722;100;;;110;;117;;;;
1723;73;;;72;;92;;;;
1724;83;;;74;;107;;;;
1725;101;;;;;113;;;;
1726;101;;;101;;107;;;;
1727;113;;;121;;115;;;;
1728;92;;;78;;98;;;;
1729;101;;;126;;107;;;;
1730;106;;;111;;113;;;;
1731;114;;;125;;125;;;;
1732;96;;;104;;106;;;;
1733;64;;;;;;;;;
1734;92;;;82;;116;;;;
1735;69;;;71;;96;;;;
1736;100;;;113;;114;;;;
1737;80;;;70;;;;;;
1738;92;;;;;112;;;;
1739;79;;;103;;127;;;;
1740;117;;;133;;126;;;129;
1741;108;;;121;;120;;;120;
1742;114;;;127;;127;;;121;
1743;96;;;;;100;;;114;
1744;101;;;112;;107;;;109;
1745;100;;;111;;111;;;113;
1746;101;;;115;;115;;;114;
1747;108;;;123;;126;;;116;
1748;102;;;118;;116;;;119;
1749;111;;;126;;125;;;121;
1750;64;;;;;95;;;85;
1751;87;;;121;;97;;;101;
1752;92;;;109;;108;;;108;
1753;82;;;83;;107;;;102;
1754;104;;;109;;108;;;107;
1755;102;;;108;;104;;;105;
1756;79;;;;;104;;;107;
1757;91;;;92;;98;;;101;
1758;111;;;128;;110;;;112;
1759;75;;;75;;111;;;115;
1760;119;;;148;;123;;;122;
1761;80;;;128;;105;;;102;
1762;101;;;94;;103;;;107;
1763;109;;;125;;124;;;120;
1764;92;;;122;;103;;;98;
1765;91;;;93;;99;;;100;
1766;97;;;106;;109;;;;
1767;91;;;117;;101;;;;
1768;112;;;135;;117;;;106;
1769;82;;;102;;107;;;115;
1770;118;;;122;;107;;;;
1771;117;;;139;;120;;123;135;
1772;95;;;112;;109;;113;93;
1773;102;;;105;;106;;104;108;
1774;95;;;109;;111;;111;102;
1775;94;;;136;;112;;117;107;
1776;99;;;120;;116;;119;117;
1777;106;;;118;;120;;121;114;
1778;97;;;107;;109;;108;115;
1779;80;;;81;;101;;94;79;
1780;80;;;91;;112;;123;;
1781;102;;;110;;115;;111;117;
1782;96;;;131;;109;;112;;
1783;104;;;127;;115;;110;109;
1784;108;;;121;;116;;118;;
1785;112;;;138;;123;;124;115;
1786;98;;;126;;112;;114;;
1787;101;;;118;;114;;109;;
1788;105;;;117;;111;;115;;
1789;111;;;131;;120;;120;;
1790;114;;;91;;122;;117;;
1791;86;;;;;111;;108;;
1792;96;;;92;;102;;100;;
1793;99;;;;;110;;114;;
1794;80;;;79;;101;;99;;
1795;98;;;114;;110;;110;;
1796;78;;;120;;113;;118;;
1797;93;;;91;;105;;105;;
1798;93;;;109;;110;;109;;
1799;108;;;129;;109;;115;;
1800;102;;;121;;114;;113;111;
1801;85;;;103;;107;;107;102;108
1802;79;;;74;;95;;95;95;98
1803;96;;;137;;100;;100;96;100
1804;104;;;130;;117;;119;117;121
1805;104;;;117;;111;;111;102;114
1806;101;;;125;;116;;122;115;124
1807;105;;;96;;130;;126;120;126
1808;114;;;129;;116;;125;117;126
1809;111;;;127;;118;;122;117;125
1810;116;;;136;;132;;129;118;126
1811;100;;;119;;114;;118;108;119
1812;116;;;102;;119;;126;122;131
1813;88;;;127;;102;;107;98;105
1814;102;;;134;;108;140;108;104;114
1815;97;;;103;;112;127;114;102;103
1816;106;;;123;;114;139;116;110;117
1817;92;;;;;113;128;119;112;121
1818;116;;;103;;119;143;128;113;129
1819;92;;;79;;111;135;119;106;111
1820;102;;;127;;108;131;114;107;112
1821;95;;;114;;116;129;115;110;112
1822;62;;;;;77;93;81;66;76
1823;94;;;109;;98;21;118;112;124
1824;78;;;75;;106;117;112;101;110
1825;102;;;103;;108;126;117;106;117
1826;95;;;103;;94;122;112;100;104
1827;95;;;91;;103;115;103;101;104
1828;103;;;118;;114;130;114;109;
1829;108;;;140;;123;144;124;120;126
1830;101;;109;116;;111;129;115;111;119
1831;97;;120;104;;106;122;108;106;112
1832;94;;99;75;;107;121;101;;93
1833;96;;107;120;;115;128;115;108;114
1834;67;;98;49;;102;133;108;96;104
1835;71;;100;106;;118;128;117;101;114
1836;76;;87;88;;94;113;100;99;100
1837;108;;110;117;103;115;129;144;108;114
1838;111;;114;120;;118;139;115;114;121
1839;121;;122;126;;122;135;125;122;128
1840;104;;110;129;;114;138;115;;110
1841;100;;103;106;;107;124;110;;108
1842;96;;104;90;104;117;128;114;;107
1843;92;;109;119;102;116;130;124;;119
1844;109;110;111;116;112;116;133;113;;110
1845;108;110;111;124;109;125;142;115;;119
1846;82;85;87;93;87;101;142;;;105
1847;111;112;119;124;112;125;133;;;123
1848;82;88;91;58;83;93;108;;;99
1849;110;116;117;40;115;119;135;;;120
1850;107;108;108;124;106;115;132;;;111
1851;96;99;103;110;106;108;122;;;109
1852;104;108;126;136;122;131;145;;;128
1853;110;113;117;124;114;118;132;;;136
1854;105;106;;116;106;110;127;;;131
1855;102;103;;123;;109;132;;;134
1856;103;105;;128;;121;139;;;
1857;95;96;;127;;104;100;;;
1858;95;101;;122;;121;127;;;
1859;82;90;;;102;109;114;;;
1860;102;101;107;83;106;108;121;;;
1861;91;94;99;84;93;116;128;;;
1862;100;103;121;118;113;118;130;;;
1863;83;95;105;;86;106;113;;;
1864;85;86;104;;102;118;120;;;
1865;103;106;108;115;103;109;134;;;
1866;96;97;104;94;103;107;123;;;
1867;112;112;117;147;115;125;143;;;
1868;99;102;111;113;106;111;128;;;
1869;79;80;96;95;92;109;120;;;99
1870;104;104;104;125;106;111;127;;;106
1871;107;107;107;137;95;102;139;;;
1872;92;93;95;100;99;105;116;;;108
1873;91;92;94;97;98;121;130;;;110
1874;92;97;99;65;98;108;114;;;
1875;110;115;120;108;116;123;137;;;127
1876;93;93;102;109;105;109;129;;;
1877;98;98;117;124;108;117;138;;;
1878;94;95;98;60;99;101;117;;;
1879;97;106;108;109;97;109;122;;;
1880;99;103;;115;;108;126;;;
1881;107;109;;133;;122;140;;;
1882;;;;34;;89;110;;;
1883;;;;122;;;135;;;
1884;;;;;;;;;;
1885;;;;82;;;;;;
1886;;;;125;;;;;;
1887;;;;;;;;;;
1888;;;;121;;;;;;
1889;;;;118;;;;;;
1890;;;;65;;;;;;
1891;;;;61;;;;;;
1892;;;;112;;;;;;
1893;;;;121;;;;;;
1894;;;;82;;;;;;
1895;;;;102;;;;;;
1896;;;;100;;;;;;
1897;;;;96;;;;;;
1898;;;;94;;;;;;
1899;;;;108;;;;;;
1900;;;;118;;;;;;
1901;;;;89;;;;;;
1902;;;;120;;;;;;
1903;;;;57;;;;;;
1904;;;;37;;;;;;
1905;;;;58;;;;;;
1906;;;;105;;;;;;
1907;;;;99;;;;;;
1908;;;;88;;;;;;
1909;;;;118;;;;;;
1910;;;;;;;;;;
1911;;;;105;;;;;;
1912;;;;113;;;;;;
1913;;;;76;;;;;;
1914;;;;75;;;;;;
1915;;;;124;;;;;;
1916;;;;94;;;;;;
1917;;;;134;;;;;;
1918;;;;99;;;;;;
1919;;;;62;;;;;;
1920;;;;69;;;;;;
1921;;;;66;;;;;;
1922;;;;91;;;;;;
1923;;;;70;;;;;;
1924;;;;123;;;;;;
1925;;;;79;;;;;;
1926;;;;126;;;;;;
1927;;;;87;;;;;;
1928;;;;112;;;;;;
1929;;;;122;;;;;;
1930;;;;39;;;;;;
1931;;;;115;;;;;;
1932;;;;118;;;;;;
1933;;;;102;;;;;;
1934;;;;76;;;;;;
1935;;;;76;;;;;;
1936;;;;88;;;;;;
1937;;;;79;;;;;;
1938;;;;57;;;;;;
1939;;;;;;;;;;
1940;;;;130;;;;;;
1941;;;;122;;;;;;
1942;;;;127;;;;;;
1943;;;;44;;;;;;
1944;;;;;;;;;;
1945;;;;86;;;;;;
1946;;;;100;;;;;;
1947;;;;118;;;;;;
1948;;;;106;;;;;;
1949;;;;85;;;;;;
1950;;;;85;;;;;;
1951;;;;105;;;;;;
1952;;;;113;;;;;;
1953;;;;94;;;;;;
1954;;;;105;;;;;;
1955;;;;123;;;;;;
1956;;;;123;;;;;;
1957;;;;119;;;;;;
1958;;;;110;;;;;;
1959;;;;91;;;;;;
1960;;;;114;;;;;;
1961;;;;46;;;;;;
1962;;;;107;;;;;;
1963;;;;118;;;;;;
1964;;;;106;;;;;;
1965;;;;102;;;;;;
1966;;;;126;;;;;;
1967;;;;95;;;;;;
1968;;;;103;;;;;;
1969;;;;120;;;;;;
1970;;;;111;;;;;;
1971;;;;107;;;;;;
1972;;;;;;;;;;
1973;;;;79;;;;;;
1974;;;;;;;;;;
1975;;;;;;;;;;
1976;;;;108;;;;;;
1977;;;;93;;;;;;
1978;;;;100;;;;;;
1979;;;;120;;;;;;
1980;;;;108;;;;;;
1981;;;;115;;;;;;
1982;;;;75;;;;;;
1983;;;;82;;;;;;
1984;;;;96;;;;;;
1985;;;;114;;;;;;
1986;;;;80;;;;;;
1987;;;;121;;;;;;
1988;;;;;;;;;;
1989;;;;;;;;;;
1990;;;;;;;;;;
1991;;;;;;;;;;
1992;;;;;;;;;;
1993;;;;;;;;;;
1994;;;;101;;;;;;
1995;;;;;;;;;;
1996;;;;85;;;;;;
1997;;;;;;;;;;
1998;;;;;;;;;;
1999;;;;;;;;;;
